model,task,story_id,repetition,step,label
deepseek14b,false_belief,fb001,1,1,0
deepseek14b,false_belief,fb001,1,2,0
deepseek14b,false_belief,fb001,1,3,1
deepseek14b,false_belief,fb001,1,4,
deepseek14b,false_belief,fb001,1,5,1
deepseek14b,false_belief,fb001,2,1,0
deepseek14b,false_belief,fb001,2,2,0
deepseek14b,false_belief,fb001,2,3,1
deepseek14b,false_belief,fb001,2,4,
deepseek14b,false_belief,fb001,2,5,1
deepseek14b,false_belief,fb001,3,1,0
deepseek14b,false_belief,fb001,3,2,0
deepseek14b,false_belief,fb001,3,3,1
deepseek14b,false_belief,fb001,3,4,
deepseek14b,false_belief,fb001,3,5,1
deepseek14b,false_belief,fb002,1,1,0
deepseek14b,false_belief,fb002,1,2,0
deepseek14b,false_belief,fb002,1,3,0
deepseek14b,false_belief,fb002,1,4,1
deepseek14b,false_belief,fb002,1,5,
deepseek14b,false_belief,fb002,1,6,1
deepseek14b,false_belief,fb002,2,1,0
deepseek14b,false_belief,fb002,2,2,0
deepseek14b,false_belief,fb002,2,3,1
deepseek14b,false_belief,fb002,2,4,
deepseek14b,false_belief,fb002,2,5,
deepseek14b,false_belief,fb002,2,6,1
deepseek14b,false_belief,fb002,3,1,0
deepseek14b,false_belief,fb002,3,2,0
deepseek14b,false_belief,fb002,3,3,0
deepseek14b,false_belief,fb002,3,4,1
deepseek14b,false_belief,fb002,3,5,
deepseek14b,false_belief,fb002,3,6,1
deepseek14b,false_belief,fb003,1,1,0
deepseek14b,false_belief,fb003,1,2,0
deepseek14b,false_belief,fb003,1,3,1
deepseek14b,false_belief,fb003,1,4,
deepseek14b,false_belief,fb003,1,5,1
deepseek14b,false_belief,fb003,2,1,0
deepseek14b,false_belief,fb003,2,2,0
deepseek14b,false_belief,fb003,2,3,1
deepseek14b,false_belief,fb003,2,4,
deepseek14b,false_belief,fb003,2,5,1
deepseek14b,false_belief,fb003,3,1,0
deepseek14b,false_belief,fb003,3,2,0
deepseek14b,false_belief,fb003,3,3,1
deepseek14b,false_belief,fb003,3,4,
deepseek14b,false_belief,fb003,3,5,1
deepseek14b,false_belief,fb004,1,1,0
deepseek14b,false_belief,fb004,1,2,0
deepseek14b,false_belief,fb004,1,3,0
deepseek14b,false_belief,fb004,1,4,1
deepseek14b,false_belief,fb004,1,5,1
deepseek14b,false_belief,fb004,2,1,0
deepseek14b,false_belief,fb004,2,2,0
deepseek14b,false_belief,fb004,2,3,0
deepseek14b,false_belief,fb004,2,4,1
deepseek14b,false_belief,fb004,2,5,1
deepseek14b,false_belief,fb004,3,1,0
deepseek14b,false_belief,fb004,3,2,0
deepseek14b,false_belief,fb004,3,3,1
deepseek14b,false_belief,fb004,3,4,
deepseek14b,false_belief,fb004,3,5,1
deepseek14b,false_belief,fb005,1,1,0
deepseek14b,false_belief,fb005,1,2,0
deepseek14b,false_belief,fb005,1,3,1
deepseek14b,false_belief,fb005,1,4,
deepseek14b,false_belief,fb005,1,5,1
deepseek14b,false_belief,fb005,2,1,0
deepseek14b,false_belief,fb005,2,2,0
deepseek14b,false_belief,fb005,2,3,1
deepseek14b,false_belief,fb005,2,4,
deepseek14b,false_belief,fb005,2,5,1
deepseek14b,false_belief,fb005,3,1,0
deepseek14b,false_belief,fb005,3,2,0
deepseek14b,false_belief,fb005,3,3,1
deepseek14b,false_belief,fb005,3,4,
deepseek14b,false_belief,fb005,3,5,1
deepseek14b,false_belief,fb006,1,1,0
deepseek14b,false_belief,fb006,1,2,0
deepseek14b,false_belief,fb006,1,3,1
deepseek14b,false_belief,fb006,1,4,
deepseek14b,false_belief,fb006,1,5,1
deepseek14b,false_belief,fb006,2,1,0
deepseek14b,false_belief,fb006,2,2,0
deepseek14b,false_belief,fb006,2,3,1
deepseek14b,false_belief,fb006,2,4,
deepseek14b,false_belief,fb006,2,5,1
deepseek14b,false_belief,fb006,3,1,0
deepseek14b,false_belief,fb006,3,2,0
deepseek14b,false_belief,fb006,3,3,1
deepseek14b,false_belief,fb006,3,4,
deepseek14b,false_belief,fb006,3,5,1
deepseek14b,false_belief,fb007,1,1,0
deepseek14b,false_belief,fb007,1,2,0
deepseek14b,false_belief,fb007,1,3,1
deepseek14b,false_belief,fb007,1,4,
deepseek14b,false_belief,fb007,1,5,1
deepseek14b,false_belief,fb007,2,1,0
deepseek14b,false_belief,fb007,2,2,0
deepseek14b,false_belief,fb007,2,3,1
deepseek14b,false_belief,fb007,2,4,
deepseek14b,false_belief,fb007,2,5,1
deepseek14b,false_belief,fb007,3,1,0
deepseek14b,false_belief,fb007,3,2,0
deepseek14b,false_belief,fb007,3,3,1
deepseek14b,false_belief,fb007,3,4,
deepseek14b,false_belief,fb007,3,5,1
deepseek14b,false_belief,fb008,1,1,0
deepseek14b,false_belief,fb008,1,2,0
deepseek14b,false_belief,fb008,1,3,1
deepseek14b,false_belief,fb008,1,4,0
deepseek14b,false_belief,fb008,1,5,1
deepseek14b,false_belief,fb008,2,1,0
deepseek14b,false_belief,fb008,2,2,0
deepseek14b,false_belief,fb008,2,3,1
deepseek14b,false_belief,fb008,2,4,
deepseek14b,false_belief,fb008,2,5,1
deepseek14b,false_belief,fb008,3,1,0
deepseek14b,false_belief,fb008,3,2,0
deepseek14b,false_belief,fb008,3,3,1
deepseek14b,false_belief,fb008,3,4,
deepseek14b,false_belief,fb008,3,5,1
deepseek14b,false_belief,fb009,1,1,0
deepseek14b,false_belief,fb009,1,2,0
deepseek14b,false_belief,fb009,1,3,1
deepseek14b,false_belief,fb009,1,4,1
deepseek14b,false_belief,fb009,2,1,0
deepseek14b,false_belief,fb009,2,2,0
deepseek14b,false_belief,fb009,2,3,1
deepseek14b,false_belief,fb009,2,4,1
deepseek14b,false_belief,fb009,3,1,0
deepseek14b,false_belief,fb009,3,2,0
deepseek14b,false_belief,fb009,3,3,0
deepseek14b,false_belief,fb009,3,4,0
