model,task,story_id,repetition,accuracy
deepseek14b,implicature,swmimp010,1,1.0
deepseek14b,false_belief,fb034,2,1.0
deepseek14b,implicature,swmimp009,2,1.0
deepseek14b,implicature,swmimp010,3,0.0
deepseek14b,false_belief,fb035,2,1.0
deepseek14b,implicature,swmimp067,1,0.0
deepseek14b,implicature,swmimp173,3,0.0
deepseek14b,false_belief,fb034,1,1.0
deepseek14b,implicature,swmimp066,3,0.0
deepseek14b,implicature,swmimp173,2,0.0
deepseek14b,implicature,swmimp008,3,1.0
deepseek14b,implicature,swmimp066,2,0.0
deepseek14b,implicature,swmimp173,1,0.0
deepseek14b,implicature,swmimp008,1,1.0
deepseek14b,false_belief,fb033,2,0.0
deepseek14b,implicature,swmimp066,1,0.0
deepseek14b,implicature,swmimp172,3,0.0
deepseek14b,implicature,swmimp065,3,0.0
deepseek14b,implicature,swmimp172,2,0.0
deepseek14b,implicature,swmimp007,2,1.0
deepseek14b,implicature,swmimp009,1,1.0
deepseek14b,implicature,swmimp065,2,0.0
deepseek14b,implicature,swmimp172,1,0.0
deepseek14b,implicature,swmimp008,2,1.0
deepseek14b,implicature,swmimp009,3,1.0
deepseek14b,implicature,swmimp065,1,0.0
deepseek14b,implicature,swmimp171,2,1.0
deepseek14b,implicature,swmimp010,2,1.0
deepseek14b,implicature,swmimp007,1,1.0
deepseek14b,false_belief,fb037,1,1.0
deepseek14b,implicature,swmimp064,3,0.0
deepseek14b,implicature,swmimp171,3,1.0
deepseek14b,implicature,swmimp064,2,0.0
deepseek14b,implicature,swmimp171,1,0.0
deepseek14b,implicature,swmimp006,2,0.0
deepseek14b,implicature,swmimp170,2,1.0
deepseek14b,implicature,swmimp007,3,1.0
deepseek14b,false_belief,fb036,3,1.0
deepseek14b,implicature,swmimp064,1,0.0
deepseek14b,implicature,swmimp006,3,0.0
deepseek14b,implicature,swmimp063,3,1.0
deepseek14b,implicature,swmimp170,3,1.0
deepseek14b,false_belief,sfp020,1,1.0
deepseek14b,implicature,swmimp005,3,0.0
deepseek14b,false_belief,fb032,2,0.0
deepseek14b,implicature,swmimp063,2,1.0
deepseek14b,implicature,swmimp170,1,1.0
deepseek14b,implicature,swmimp063,1,0.0
deepseek14b,implicature,swmimp169,3,0.0
deepseek14b,false_belief,fb036,2,1.0
deepseek14b,implicature,swmimp005,1,0.0
deepseek14b,false_belief,fb034,3,1.0
deepseek14b,implicature,swmimp062,3,0.0
deepseek14b,implicature,swmimp169,2,1.0
deepseek14b,implicature,swmimp168,3,1.0
deepseek14b,implicature,swmimp061,3,0.0
deepseek14b,implicature,swmimp175,1,0.0
deepseek14b,false_belief,fb032,1,1.0
deepseek14b,implicature,swmimp004,2,1.0
deepseek14b,false_belief,fb033,3,1.0
deepseek14b,implicature,swmimp062,2,0.0
deepseek14b,implicature,swmimp169,1,0.0
deepseek14b,implicature,swmimp168,2,0.0
deepseek14b,implicature,swmimp006,1,0.0
deepseek14b,false_belief,fb032,3,1.0
deepseek14b,implicature,swmimp062,1,0.0
deepseek14b,implicature,swmimp005,2,0.0
deepseek14b,implicature,swmimp061,2,0.0
deepseek14b,implicature,swmimp168,1,0.0
deepseek14b,false_belief,fb031,3,1.0
deepseek14b,implicature,swmimp003,3,0.0
deepseek14b,false_belief,fb035,3,1.0
deepseek14b,implicature,swmimp061,1,0.0
deepseek14b,implicature,swmimp167,3,0.0
deepseek14b,implicature,swmimp060,3,0.0
deepseek14b,implicature,swmimp167,2,0.0
deepseek14b,implicature,swmimp003,1,0.0
deepseek14b,implicature,swmimp060,2,1.0
deepseek14b,implicature,swmimp167,1,0.0
deepseek14b,implicature,swmimp004,3,1.0
