model,task,story_id,repetition,emergence_point
deepseek7b,implicature,swmimp004,2,4
deepseek7b,implicature,swmimp004,3,2
deepseek7b,implicature,swmimp004,1,4
deepseek7b,implicature,swmimp003,2,
deepseek7b,implicature,swmimp005,1,
deepseek7b,implicature,swmimp003,3,
deepseek7b,implicature,swmimp002,2,
deepseek7b,implicature,swmimp002,3,
deepseek7b,implicature,swmimp002,1,
deepseek7b,implicature,swmimp001,3,
deepseek7b,implicature,swmimp001,2,8
deepseek7b,implicature,swmimp001,1,
deepseek7b,faux_pas,sfp010,3,
deepseek7b,faux_pas,sfp010,2,4
deepseek7b,faux_pas,sfp010,1,1
deepseek7b,faux_pas,sfp009,3,
deepseek7b,faux_pas,sfp009,2,
deepseek7b,faux_pas,sfp009,1,
deepseek7b,faux_pas,sfp008,1,3
deepseek7b,faux_pas,sfp008,3,1
deepseek7b,faux_pas,sfp008,2,3
deepseek7b,faux_pas,sfp007,3,3
deepseek7b,faux_pas,sfp007,2,
deepseek7b,faux_pas,sfp007,1,2
deepseek7b,faux_pas,sfp006,3,3
deepseek7b,faux_pas,sfp006,2,
deepseek7b,faux_pas,sfp006,1,
deepseek7b,faux_pas,sfp005,3,3
deepseek7b,faux_pas,sfp005,2,3
deepseek7b,faux_pas,sfp005,1,3
deepseek7b,faux_pas,sfp004,3,4
deepseek7b,faux_pas,sfp003,3,
deepseek7b,implicature,swmimp003,1,
deepseek7b,faux_pas,sfp004,2,3
deepseek7b,faux_pas,sfp004,1,2
deepseek7b,faux_pas,sfp003,2,
deepseek7b,faux_pas,sfp003,1,
deepseek7b,faux_pas,sfp002,1,
deepseek7b,faux_pas,sfp002,3,5
deepseek7b,faux_pas,sfp002,2,1
deepseek7b,faux_pas,sfp001,3,
deepseek7b,faux_pas,sfp001,2,
deepseek7b,faux_pas,sfp001,1,2
deepseek7b,false_belief,sfp020,3,1
deepseek7b,false_belief,sfp020,2,1
deepseek7b,false_belief,sfp020,1,
deepseek7b,false_belief,sfp019,3,3
deepseek7b,false_belief,sfp019,2,1
deepseek7b,false_belief,sfp019,1,2
deepseek7b,false_belief,sfp018,3,2
deepseek7b,false_belief,sfp018,2,
deepseek7b,false_belief,sfp018,1,
deepseek7b,false_belief,sfp017,3,1
deepseek7b,false_belief,sfp017,2,2
deepseek7b,false_belief,sfp017,1,2
deepseek7b,false_belief,sfp016,3,2
deepseek7b,false_belief,sfp016,2,4
deepseek7b,false_belief,sfp016,1,3
deepseek7b,false_belief,sfp015,3,1
deepseek7b,false_belief,sfp015,2,3
deepseek7b,false_belief,sfp015,1,2
deepseek7b,false_belief,sfp014,1,2
deepseek7b,false_belief,sfp014,3,
deepseek7b,false_belief,sfp014,2,4
deepseek7b,false_belief,sfp013,3,2
deepseek7b,false_belief,sfp013,1,1
deepseek7b,false_belief,sfp013,2,
deepseek7b,false_belief,sfp012,1,3
deepseek7b,false_belief,sfp012,3,2
deepseek7b,false_belief,sfp012,2,4
deepseek7b,false_belief,sfp011,3,
deepseek7b,false_belief,sfp011,2,3
deepseek7b,false_belief,sfp011,1,3
